iteration(log10) 	error(log10)
757	-4.68111
758	-4.68699
759	-4.69286
760	-4.69874
761	-4.70462
762	-4.7105
763	-4.71638
764	-4.72226
765	-4.72814
766	-4.73401
767	-4.73989
768	-4.74577
769	-4.75165
770	-4.75753
771	-4.76341
772	-4.76929
773	-4.77516
774	-4.78104
775	-4.78692
776	-4.7928
777	-4.79868
778	-4.80456
779	-4.81044
780	-4.81631
781	-4.82219
782	-4.82807
783	-4.83395
784	-4.83983
785	-4.84571
786	-4.85159
787	-4.85746
788	-4.86334
789	-4.86922
790	-4.8751
791	-4.88098
792	-4.88686
793	-4.89274
794	-4.89861
795	-4.90449
796	-4.91037
797	-4.91625
798	-4.92213
799	-4.92801
800	-4.93389
801	-4.93976
802	-4.94564
803	-4.95152
804	-4.9574
805	-4.96328
806	-4.96916
807	-4.97504
808	-4.98091
809	-4.98679
810	-4.99267
811	-4.99855
812	-5.00443
813	-5.01031
814	-5.01619
815	-5.02206
816	-5.02794
817	-5.03382
818	-5.0397
819	-5.04558
820	-5.05146
821	-5.05734
822	-5.06321
823	-5.06909
824	-5.07497
825	-5.08085
826	-5.08673
827	-5.09261
828	-5.09849
829	-5.10436
830	-5.11024
831	-5.11612
832	-5.122
833	-5.12788
834	-5.13376
835	-5.13964
836	-5.14551
837	-5.15139
838	-5.15727
839	-5.16315
840	-5.16903
841	-5.17491
842	-5.18079
843	-5.18666
844	-5.19254
845	-5.19842
846	-5.2043
847	-5.21018
848	-5.21606
849	-5.22194
850	-5.22781
851	-5.23369
852	-5.23957
853	-5.24545
854	-5.25133
855	-5.25721
856	-5.26308
857	-5.26896
858	-5.27484
859	-5.28072
860	-5.2866
861	-5.29248
862	-5.29836
863	-5.30423
864	-5.31011
865	-5.31599
866	-5.32187
867	-5.32775
868	-5.33363
869	-5.33951
870	-5.34538
871	-5.35126
872	-5.35714
873	-5.36302
874	-5.3689
875	-5.37478
876	-5.38066
877	-5.38653
878	-5.39241
879	-5.39829
880	-5.40417
881	-5.41005
882	-5.41593
883	-5.42181
884	-5.42768
885	-5.43356
886	-5.43944
887	-5.44532
888	-5.4512
889	-5.45708
890	-5.46296
891	-5.46883
892	-5.47471
893	-5.48059
894	-5.48647
895	-5.49235
896	-5.49823
897	-5.50411
898	-5.50998
899	-5.51586
900	-5.52174
901	-5.52762
902	-5.5335
903	-5.53938
904	-5.54526
905	-5.55113
906	-5.55701
907	-5.56289
908	-5.56877
909	-5.57465
910	-5.58053
911	-5.58641
912	-5.59228
913	-5.59816
914	-5.60404
915	-5.60992
916	-5.6158
917	-5.62168
918	-5.62756
919	-5.63343
920	-5.63931
921	-5.64519
922	-5.65107
923	-5.65695
924	-5.66283
925	-5.6687
926	-5.67458
927	-5.68046
928	-5.68634
929	-5.69222
930	-5.6981
931	-5.70398
932	-5.70985
933	-5.71573
934	-5.72161
935	-5.72749
936	-5.73337
937	-5.73925
938	-5.74513
939	-5.751
940	-5.75688
941	-5.76276
942	-5.76864
943	-5.77452
944	-5.7804
945	-5.78628
946	-5.79215
947	-5.79803
948	-5.80391
949	-5.80979
950	-5.81567
951	-5.82155
952	-5.82743
953	-5.8333
954	-5.83918
955	-5.84506
956	-5.85094
957	-5.85682
958	-5.8627
959	-5.86858
960	-5.87445
961	-5.88033
962	-5.88621
963	-5.89209
964	-5.89797
965	-5.90385
966	-5.90973
967	-5.9156
968	-5.92148
969	-5.92736
970	-5.93324
971	-5.93912
972	-5.945
973	-5.95088
974	-5.95675
975	-5.96263
976	-5.96851
977	-5.97439
978	-5.98027
979	-5.98615
980	-5.99203
981	-5.9979
982	-6.00378
