iteration(log10) 	error(log10)
912	-3.26515
913	-3.26814
914	-3.27114
915	-3.27413
916	-3.27712
917	-3.28011
918	-3.2831
919	-3.28609
920	-3.28908
921	-3.29207
922	-3.29506
923	-3.29805
924	-3.30105
925	-3.30404
926	-3.30703
927	-3.31002
928	-3.31301
929	-3.316
930	-3.31899
931	-3.32198
932	-3.32497
933	-3.32797
934	-3.33096
935	-3.33395
936	-3.33694
937	-3.33993
938	-3.34292
939	-3.34591
940	-3.3489
941	-3.35189
942	-3.35489
943	-3.35788
944	-3.36087
945	-3.36386
946	-3.36685
947	-3.36984
948	-3.37283
949	-3.37582
950	-3.37881
951	-3.38181
952	-3.3848
953	-3.38779
954	-3.39078
955	-3.39377
956	-3.39676
957	-3.39975
958	-3.40274
959	-3.40574
960	-3.40873
961	-3.41172
962	-3.41471
963	-3.4177
964	-3.42069
965	-3.42368
966	-3.42667
967	-3.42966
968	-3.43266
969	-3.43565
970	-3.43864
971	-3.44163
972	-3.44462
973	-3.44761
974	-3.4506
975	-3.45359
976	-3.45659
977	-3.45958
978	-3.46257
979	-3.46556
980	-3.46855
981	-3.47154
982	-3.47453
983	-3.47752
984	-3.48051
985	-3.48351
986	-3.4865
987	-3.48949
988	-3.49248
989	-3.49547
990	-3.49846
991	-3.50145
992	-3.50444
993	-3.50744
994	-3.51043
995	-3.51342
996	-3.51641
997	-3.5194
998	-3.52239
999	-3.52538
1000	-3.52837
1001	-3.53137
1002	-3.53436
1003	-3.53735
1004	-3.54034
1005	-3.54333
1006	-3.54632
1007	-3.54931
1008	-3.5523
1009	-3.5553
1010	-3.55829
1011	-3.56128
1012	-3.56427
1013	-3.56726
1014	-3.57025
1015	-3.57324
1016	-3.57623
1017	-3.57922
1018	-3.58222
1019	-3.58521
1020	-3.5882
1021	-3.59119
1022	-3.59418
1023	-3.59717
1024	-3.60016
1025	-3.60315
1026	-3.60615
1027	-3.60914
1028	-3.61213
1029	-3.61512
1030	-3.61811
1031	-3.6211
1032	-3.62409
1033	-3.62709
1034	-3.63008
1035	-3.63307
1036	-3.63606
1037	-3.63905
1038	-3.64204
1039	-3.64503
1040	-3.64802
1041	-3.65102
1042	-3.65401
1043	-3.657
1044	-3.65999
1045	-3.66298
1046	-3.66597
1047	-3.66896
1048	-3.67195
1049	-3.67495
1050	-3.67794
1051	-3.68093
1052	-3.68392
1053	-3.68691
1054	-3.6899
1055	-3.69289
1056	-3.69588
1057	-3.69888
1058	-3.70187
1059	-3.70486
1060	-3.70785
1061	-3.71084
1062	-3.71383
1063	-3.71682
1064	-3.71981
1065	-3.72281
1066	-3.7258
1067	-3.72879
1068	-3.73178
1069	-3.73477
1070	-3.73776
1071	-3.74075
1072	-3.74375
1073	-3.74674
1074	-3.74973
1075	-3.75272
1076	-3.75571
1077	-3.7587
1078	-3.76169
1079	-3.76468
1080	-3.76768
1081	-3.77067
1082	-3.77366
1083	-3.77665
1084	-3.77964
1085	-3.78263
1086	-3.78562
1087	-3.78862
1088	-3.79161
1089	-3.7946
1090	-3.79759
1091	-3.80058
1092	-3.80357
1093	-3.80656
1094	-3.80955
1095	-3.81255
1096	-3.81554
1097	-3.81853
1098	-3.82152
1099	-3.82451
1100	-3.8275
1101	-3.83049
1102	-3.83349
1103	-3.83648
1104	-3.83947
1105	-3.84246
1106	-3.84545
1107	-3.84844
1108	-3.85143
1109	-3.85442
1110	-3.85742
1111	-3.86041
1112	-3.8634
1113	-3.86639
1114	-3.86938
1115	-3.87237
1116	-3.87536
1117	-3.87836
1118	-3.88135
1119	-3.88434
1120	-3.88733
